{'param': {'epochs': 200, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 256, 256), 'drop_out': 0.1, 'lr': 0.3}, 'test_auc': 0.5, 'test_acc': 0.69411767}
{'param': {'epochs': 500, 'num_features': 7, 'num_classes': 2, 'neurons': (512, 512, 512), 'drop_out': 0.1, 'lr': 0.1}, 'test_auc': 0.5, 'test_acc': 0.69411767}
{'param': {'epochs': 400, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 512, 1024), 'drop_out': 0.1, 'lr': 0.1}, 'test_auc': 0.5, 'test_acc': 0.69411767}
{'param': {'epochs': 300, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 512, 1024), 'drop_out': 0.1, 'lr': 0.3}, 'test_auc': 0.5, 'test_acc': 0.69411767}
{'param': {'epochs': 400, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 512, 1024), 'drop_out': 0.1, 'lr': 0.3}, 'test_auc': 0.5, 'test_acc': 0.69411767}
{'param': {'epochs': 600, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 512, 1024), 'drop_out': 0.1, 'lr': 0.3}, 'test_auc': 0.5, 'test_acc': 0.69411767}
{'param': {'epochs': 600, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 512, 1024), 'drop_out': 0.1, 'lr': 0.1}, 'test_auc': 0.5, 'test_acc': 0.69411767}
{'param': {'epochs': 300, 'num_features': 7, 'num_classes': 2, 'neurons': (1024, 1024, 1024), 'drop_out': 0.1, 'lr': 0.3}, 'test_auc': 0.5, 'test_acc': 0.69411767}
{'param': {'epochs': 500, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 256, 256), 'drop_out': 0.1, 'lr': 0.3}, 'test_auc': 0.5, 'test_acc': 0.69411767}
{'param': {'epochs': 500, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 256, 256), 'drop_out': 0.1, 'lr': 0.03}, 'test_auc': 0.5042372881355932, 'test_acc': 0.69411767}
{'param': {'epochs': 300, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 256, 256), 'drop_out': 0.1, 'lr': 0.3}, 'test_auc': 0.5042372881355932, 'test_acc': 0.31176472}
{'param': {'epochs': 300, 'num_features': 7, 'num_classes': 2, 'neurons': (512, 512, 512), 'drop_out': 0.1, 'lr': 0.1}, 'test_auc': 0.5042372881355932, 'test_acc': 0.69411767}
{'param': {'epochs': 200, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 512, 1024), 'drop_out': 0.1, 'lr': 0.3}, 'test_auc': 0.5042372881355932, 'test_acc': 0.69411767}
